IDMEDIDOR;FECHA;MINIMA;MINIMA2;MAXIMA
2058;2007-08-27 00:00:00;-7,8;-1,4;22,8
2058;2007-08-28 00:00:00;2;4,2;16,2
2058;2007-08-29 00:00:00;-10,8;-6,2;17,1
2058;2007-08-30 00:00:00;-6;-2,8;18,5
2058;2007-08-31 00:00:00;-2,9;0,8;23,8
2058;2007-09-01 00:00:00;-0,8;2,6;25,5
2058;2007-09-02 00:00:00;0;5;25
2058;2007-09-03 00:00:00;4,8;9,4;25,2
2058;2007-09-04 00:00:00;5;9,2;20,6
2058;2007-09-05 00:00:00;-6,2;-0,7;23,4
2058;2007-09-06 00:00:00;-1;2,4;25
2058;2007-09-07 00:00:00;6;10;27
2058;2007-09-08 00:00:00;14;16;30,3
2058;2007-09-09 00:00:00;14,4;15,8;22,5
2058;2007-09-10 00:00:00;9,8;11,8;21
2058;2007-09-11 00:00:00;-2;3,4;22,2
2058;2007-09-12 00:00:00;9,2;10,8;13
2058;2007-09-13 00:00:00;8,3;9;11,7
2058;2007-09-14 00:00:00;8;10,6;11,4
2058;2007-08-26 00:00:00;-4,5;0,4;14,9
2058;2007-08-25 00:00:00;1,2;3,8;9,5
2058;2007-08-24 00:00:00;-5,8;0,2;12,4
2058;2007-08-23 00:00:00;-4,8;-1;18,8
2058;2007-08-22 00:00:00;-6,8;-1,9;20,5
2058;2007-08-21 00:00:00;-4,8;-2,3;18,9
2058;2007-08-20 00:00:00;-9,4;-4,8;14,9
2058;2007-08-19 00:00:00;2,2;3,4;9
2058;2007-08-18 00:00:00;-9,6;-5;8,6
2058;2007-08-17 00:00:00;-12,8;-8,3;8,6
2058;2007-08-16 00:00:00;-1;1,2;11,5
2058;2007-08-15 00:00:00;-9,8;-5;15,3
2058;2007-08-14 00:00:00;0,6;4,8;18,9
2058;2007-08-13 00:00:00;-7;-2,1;19,8
2058;2007-08-12 00:00:00;-0,4;4,2;17,2
2058;2007-08-11 00:00:00;-9,7;-3,4;17,9
2058;2007-08-10 00:00:00;-3,8;-1,2;11,2
2058;2007-08-09 00:00:00;2,9;3,5;4,7
2058;2007-08-08 00:00:00;-6,3;-1,5;18,5
2058;2007-08-07 00:00:00;-6;1,8;18,5
2058;2007-08-06 00:00:00;-11;-7,1;15,3
2058;2007-08-05 00:00:00;-8;-2,7;11,9
2058;2007-08-04 00:00:00;-13,8;-6,4;12,8
2058;2007-08-03 00:00:00;-11,2;-7,2;9,8
2058;2007-08-02 00:00:00;-8,8;-3,2;7,5
2058;2007-08-01 00:00:00;2;3,1;10,5
2058;2007-07-31 00:00:00;-4;-0,2;13,5
2058;2007-07-30 00:00:00;-7,5;-3,9;17,2
