FechaMedicion	HeliofaniaMedicion	MinimaMedicion	Minima2Medicion	MaximaMedicion	MmMedicion
20/2/2007 00:00	6	9,2	11,2	21	10,5
21/2/2007 00:00	0	9	11,8	17,9	0
22/2/2007 00:00	11,8	6,4	10,4	27,3	11
23/2/2007 00:00	8,1	11,2	13,8	25,6	0
24/2/2007 00:00	9,6	10	12,6	32,5	0
25/2/2007 00:00	7,1	18,8	20,4	36,8	0
26/2/2007 00:00	4,7	11,8	14,5	23	21
27/2/2007 00:00	11,1	8,8	10,8	26	17
28/2/2007 00:00	11,6	9,8	11,5	26,2	0
1/3/2007 00:00	7,4	10,9	12,7	21,6	0
2/3/2007 00:00	11	2,2	7	25	0
3/3/2007 00:00	3,8	6,6	9,4	22,7	0
4/3/2007 00:00	2,7	11,2	13,3	21,5	1,5
5/3/2007 00:00	11,6	10,8	13	32	0
6/3/2007 00:00	10,5	11,2	15,2	32,3	0
7/3/2007 00:00	0	14	15,2	22,5	0
8/3/2007 00:00	3,6	16,8	17,2	24	37
9/3/2007 00:00	11,2	8,8	11,4	24	19
10/3/2007 00:00	10	3,9	7,7	25	0
11/3/2007 00:00	10,2	11,3	13,5	32,2	0
12/3/2007 00:00	10,7	11,8	15,5	29	0
13/3/2007 00:00	10,6	11,2	14,3	31,5	0
14/3/2007 00:00	10,8	14,6	16,2	27,6	16
15/3/2007 00:00	2,2	11	12,6	27,6	0
16/3/2007 00:00	1,4	13	14	20	0
17/3/2007 00:00	10,4	6,2	9,6	25	0
18/3/2007 00:00	10,4	8	12,5	18,5	0
19/3/2007 00:00	11,3	9,2	13	30,2	0
20/3/2007 00:00	10,4	12,8	15	31	0
21/3/2007 00:00	11,5	13,2	15	31	0
22/3/2007 00:00	0	16	16,2	18,5	16,5
23/3/2007 00:00	9,2	7,6	10,5	25,6	17,5
24/3/2007 00:00	10,4	8,4	11,6	26,2	0
25/3/2007 00:00	11	13,2	14,6	27	0
26/3/2007 00:00	6,8	5,6	8,8	26,9	0
27/3/2007 00:00	2,2	10,9	11,8	22,2	1,8
28/3/2007 00:00	8	10,8	12,5	25,6	0
29/3/2007 00:00	0	17,2	17,8	21,6	0
30/3/2007 00:00	0	15,8	16	19,3	4
31/3/2007 00:00	4,5	11	12,3	21,4	17,5
1/4/2007 00:00	0	10,8	12,7	17,5	0
2/4/2007 00:00	9,6	6,4	8,9	26,5	0
3/4/2007 00:00	9	2,8	7,6	28,5	0
4/4/2007 00:00	10,1	3,6	7,2	28	0
5/4/2007 00:00	7,2	5,8	10,8	26,5	0
6/4/2007 00:00	6,6	13,2	15,9	24,5	0
7/4/2007 00:00	6,8	4,4	9,2	25,5	0
8/4/2007 00:00	5	5	7,4	20,6	0
9/4/2007 00:00	5,3	6,4	8,8	23,5	0
10/4/2007 00:00	7,2	3,8	7,2	18,9	4,5
11/4/2007 00:00	9	8,2	10	20,7	1
12/4/2007 00:00	10	-2,4	3,8	21,2	0
13/4/2007 00:00	9,2	5,3	8,9	25,5	0
14/4/2007 00:00	8,5	8,6	12	24,2	0
15/4/2007 00:00	8,6	0,6	5,6	26	0
16/4/2007 00:00	2	11,5	14,3	25,5	0
17/4/2007 00:00	5,8	18,4	20	26,7	3
18/4/2007 00:00	4,1	16,2	17,3	32,6	0
19/4/2007 00:00	0	19	21,2	21,4	0
20/4/2007 00:00	8,7	2,2	5,5	18,6	1
21/4/2007 00:00	0	-2,8	0,7	16,6	0
22/4/2007 00:00	0	8,6	11	13,6	15
23/4/2007 00:00	7,5	3,8	7,7	19,2	3,8
24/4/2007 00:00	9	1,4	5,5	16,5	0
25/4/2007 00:00	8,8	-5,8	-1,3	19,5	0
26/4/2007 00:00	8,6	-4,5	-0,3	18,6	0
27/4/2007 00:00	8,6	-3,2	1	20,8	0
28/4/2007 00:00	9	2,7	5	22,4	0
29/4/2007 00:00	8,8	4,2	6,5	23,5	0
30/4/2007 00:00	9,6	3,5	5,7	23	0
1/5/2007 00:00	2,8	5,3	10,2	18,7	0
2/5/2007 00:00	3,6	10,2	11	19,7	0
3/5/2007 00:00	0	11,2	12	16,5	0
4/5/2007 00:00	0	14	14,3	17,8	0
5/5/2007 00:00	1	1,4	4,8	17,3	0
6/5/2007 00:00	4	-1,2	3,2	13,1	0
7/5/2007 00:00	6,8	-10,8	-5,5	13,9	0
8/5/2007 00:00	9	-10,4	-5,4	14,3	0
9/5/2007 00:00	8	-8,4	-3,2	15,8	0
10/5/2007 00:00	7,2	-0,8	3	17,9	0
11/5/2007 00:00	4,7	-1,4	1,5	15,7	0
12/5/2007 00:00	2,8	-9,8	-5,4	13,8	0
13/5/2007 00:00	6	-4	0,7	17,5	0
14/5/2007 00:00	2,8	3	5,8	17,3	0
15/5/2007 00:00	0	5,8	9,2	14,5	0
16/5/2007 00:00	9,6	-6,3	1	15,5	0
17/5/2007 00:00	8,6	-5,8	0	19,3	0
18/5/2007 00:00	8,4	-6,4	-0,5	21	0
19/5/2007 00:00	8,4	-3,4	3,3	22	0
20/5/2007 00:00	7,3	0	4,2	21,6	0
21/5/2007 00:00	9,3	-3,8	3	16	0
22/5/2007 00:00	7,4	-8,2	-3	16,5	0
23/5/2007 00:00	8,6	-5,2	-0,5	17,6	0
24/5/2007 00:00	8,9	-8,8	-3,5	19	0
